FECHA_MUESTRA,TIPO,UBICACION,GENERO,GRUPO_ETARIO,N
13DEC2020:00:00:00,testeos,Club San Lorenzo,M,0-19,5
13DEC2020:00:00:00,testeos,Club San Lorenzo,M,0-19,5
13DEC2020:00:00:00,testeos,Club San Lorenzo,M,20-29,14
13DEC2020:00:00:00,testeos,Club San Lorenzo,M,30-39,17
13DEC2020:00:00:00,testeos,Club San Lorenzo,M,40-49,25
13DEC2020:00:00:00,testeos,Club San Lorenzo,M,50-59,25
13DEC2020:00:00:00,testeos,Club San Lorenzo,M,60-69,22
13DEC2020:00:00:00,testeos,Club San Lorenzo,M,70-79,9
13DEC2020:00:00:00,testeos,Club San Lorenzo,M,80 y más,1
13DEC2020:00:00:00,testeos,Edificio Munich,F,0-19,46
13DEC2020:00:00:00,testeos,Edificio Munich,F,20-29,67
13DEC2020:00:00:00,testeos,Edificio Munich,F,30-39,88
13DEC2020:00:00:00,testeos,Edificio Munich,F,40-49,86
13DEC2020:00:00:00,testeos,Edificio Munich,F,50-59,65
13DEC2020:00:00:00,testeos,Edificio Munich,F,60-69,40
13DEC2020:00:00:00,testeos,Edificio Munich,F,70-79,16
13DEC2020:00:00:00,testeos,Edificio Munich,F,80 y más,3
13DEC2020:00:00:00,testeos,Edificio Munich,M,0-19,20
13DEC2020:00:00:00,testeos,Edificio Munich,M,20-29,57
13DEC2020:00:00:00,testeos,Edificio Munich,M,30-39,100
13DEC2020:00:00:00,testeos,Edificio Munich,M,40-49,67
13DEC2020:00:00:00,testeos,Edificio Munich,M,50-59,57
13DEC2020:00:00:00,testeos,Edificio Munich,M,60-69,49
13DEC2020:00:00:00,testeos,Edificio Munich,M,70-79,17
13DEC2020:00:00:00,testeos,Edificio Munich,M,80 y más,4
13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,11
13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,57
13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,34
13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,34
13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,41
13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,23
13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,15
13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,80 y más,3
13DEC2020:00:00:00,testeos,Terminal Dellepiane,M,0-19,8
13DEC2020:00:00:00,testeos,Terminal Dellepiane,M,20-29,42
13DEC2020:00:00:00,testeos,Terminal Dellepiane,M,30-39,34
13DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,29
13DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,28
13DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,21
13DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,4
13DEC2020:00:00:00,positivos,Callao | USAM,F,20-29,1
13DEC2020:00:00:00,positivos,Callao | USAM,F,30-39,1
13DEC2020:00:00:00,positivos,CEC,F,40-49,2
13DEC2020:00:00:00,positivos,CEC,M,60-69,1
13DEC2020:00:00:00,positivos,Edificio Munich,F,20-29,2
13DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,3
13DEC2020:00:00:00,positivos,Terminal Dellepiane,F,0-19,2
13DEC2020:00:00:00,positivos,Terminal Dellepiane,F,20-29,1
13DEC2020:00:00:00,positivos,Terminal Dellepiane,F,30-39,2
13DEC2020:00:00:00,positivos,Terminal Dellepiane,F,40-49,1
13DEC2020:00:00:00,positivos,Terminal Dellepiane,F,50-59,1
13DEC2020:00:00:00,positivos,Terminal Dellepiane,M,0-19,1
13DEC2020:00:00:00,positivos,Terminal Dellepiane,M,20-29,1
13DEC2020:00:00:00,positivos,Terminal Dellepiane,M,40-49,1
13DEC2020:00:00:00,positivos,Terminal Dellepiane,M,50-59,1
14DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,14
14DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,27
14DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,47
14DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,60
14DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,42
14DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,31
14DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,16
14DEC2020:00:00:00,testeos,Callao | USAM,F,80 y más,1
14DEC2020:00:00:00,testeos,Callao | USAM,M,0-19,5
14DEC2020:00:00:00,testeos,Callao | USAM,M,20-29,24
14DEC2020:00:00:00,testeos,Callao | USAM,M,30-39,43
14DEC2020:00:00:00,testeos,Callao | USAM,M,40-49,35
14DEC2020:00:00:00,testeos,Callao | USAM,M,50-59,29
14DEC2020:00:00:00,testeos,Callao | USAM,M,60-69,27
14DEC2020:00:00:00,testeos,Callao | USAM,M,70-79,15
14DEC2020:00:00:00,testeos,Callao | USAM,M,80 y más,2
14DEC2020:00:00:00,testeos,CEC,F,0-19,25
14DEC2020:00:00:00,testeos,CEC,F,20-29,63
14DEC2020:00:00:00,testeos,CEC,F,30-39,112
14DEC2020:00:00:00,testeos,CEC,F,40-49,87
14DEC2020:00:00:00,testeos,CEC,F,50-59,67
14DEC2020:00:00:00,testeos,CEC,F,60-69,46
14DEC2020:00:00:00,testeos,CEC,F,70-79,29
14DEC2020:00:00:00,testeos,CEC,F,80 y más,7
14DEC2020:00:00:00,testeos,CEC,M,0-19,25
14DEC2020:00:00:00,testeos,CEC,M,20-29,39
14DEC2020:00:00:00,testeos,CEC,M,30-39,114
14DEC2020:00:00:00,testeos,CEC,M,40-49,83
14DEC2020:00:00:00,testeos,CEC,M,50-59,64
14DEC2020:00:00:00,testeos,CEC,M,60-69,54
14DEC2020:00:00:00,testeos,CEC,M,70-79,24
14DEC2020:00:00:00,testeos,CEC,M,80 y más,5
14DEC2020:00:00:00,testeos,Club San Lorenzo,F,0-19,7
14DEC2020:00:00:00,testeos,Club San Lorenzo,F,20-29,13
14DEC2020:00:00:00,testeos,Club San Lorenzo,F,30-39,13
14DEC2020:00:00:00,testeos,Club San Lorenzo,F,40-49,16
14DEC2020:00:00:00,testeos,Club San Lorenzo,F,50-59,19
14DEC2020:00:00:00,testeos,Club San Lorenzo,F,60-69,21
14DEC2020:00:00:00,testeos,Club San Lorenzo,F,70-79,9
14DEC2020:00:00:00,testeos,Club San Lorenzo,M,0-19,5
14DEC2020:00:00:00,testeos,Club San Lorenzo,M,20-29,10
14DEC2020:00:00:00,testeos,Club San Lorenzo,M,30-39,15
14DEC2020:00:00:00,testeos,Club San Lorenzo,M,40-49,21
14DEC2020:00:00:00,testeos,Club San Lorenzo,M,50-59,24
14DEC2020:00:00:00,testeos,Club San Lorenzo,M,60-69,21
14DEC2020:00:00:00,testeos,Club San Lorenzo,M,70-79,7
14DEC2020:00:00:00,testeos,Club San Lorenzo,M,80 y más,1
14DEC2020:00:00:00,testeos,Edificio Munich,F,0-19,20
14DEC2020:00:00:00,testeos,Edificio Munich,F,20-29,65
14DEC2020:00:00:00,testeos,Edificio Munich,F,30-39,103
14DEC2020:00:00:00,testeos,Edificio Munich,F,40-49,48
14DEC2020:00:00:00,testeos,Edificio Munich,F,50-59,57
14DEC2020:00:00:00,testeos,Edificio Munich,F,60-69,43
14DEC2020:00:00:00,testeos,Edificio Munich,F,70-79,19
14DEC2020:00:00:00,testeos,Edificio Munich,F,80 y más,4
14DEC2020:00:00:00,testeos,Edificio Munich,M,0-19,20
14DEC2020:00:00:00,testeos,Edificio Munich,M,20-29,59
14DEC2020:00:00:00,testeos,Edificio Munich,M,30-39,78
14DEC2020:00:00:00,testeos,Edificio Munich,M,40-49,58
14DEC2020:00:00:00,testeos,Edificio Munich,M,50-59,66
14DEC2020:00:00:00,testeos,Edificio Munich,M,60-69,44
14DEC2020:00:00:00,testeos,Edificio Munich,M,70-79,25
14DEC2020:00:00:00,testeos,Edificio Munich,M,80 y más,3
14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,33
14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,84
14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,49
14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,42
14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,55
14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,42
14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,11
14DEC2020:00:00:00,testeos,Terminal Dellepiane,F,80 y más,2
14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,0-19,27
14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,20-29,65
14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,30-39,53
14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,40
14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,30
14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,15
14DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,6
14DEC2020:00:00:00,positivos,Callao | USAM,F,30-39,1
14DEC2020:00:00:00,positivos,CEC,M,20-29,2
14DEC2020:00:00:00,positivos,CEC,M,30-39,3
14DEC2020:00:00:00,positivos,CEC,M,50-59,1
14DEC2020:00:00:00,positivos,Edificio Munich,F,20-29,1
14DEC2020:00:00:00,positivos,Edificio Munich,F,60-69,1
14DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,3
14DEC2020:00:00:00,positivos,Terminal Dellepiane,F,20-29,2
14DEC2020:00:00:00,positivos,Terminal Dellepiane,F,30-39,1
14DEC2020:00:00:00,positivos,Terminal Dellepiane,M,0-19,2
14DEC2020:00:00:00,positivos,Terminal Dellepiane,M,20-29,2
14DEC2020:00:00:00,positivos,Terminal Dellepiane,M,50-59,1
15DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,14
15DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,29
15DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,47
15DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,45
15DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,39
15DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,26
15DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,15
09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,37
09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,26
09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,15
09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,8
09DEC2020:00:00:00,testeos,Terminal Dellepiane,M,80 y más,1
09DEC2020:00:00:00,positivos,CEC,F,60-69,1
09DEC2020:00:00:00,positivos,Edificio Munich,F,30-39,1
09DEC2020:00:00:00,positivos,Edificio Munich,M,20-29,1
09DEC2020:00:00:00,positivos,Terminal Dellepiane,F,20-29,2
09DEC2020:00:00:00,positivos,Terminal Dellepiane,F,30-39,1
09DEC2020:00:00:00,positivos,Terminal Dellepiane,F,50-59,1
09DEC2020:00:00:00,positivos,Terminal Dellepiane,F,60-69,1
10DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,8
10DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,58
10DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,59
10DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,32
10DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,17
10DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,15
10DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,4
10DEC2020:00:00:00,testeos,Callao | USAM,M,0-19,3
10DEC2020:00:00:00,testeos,Callao | USAM,M,20-29,35
10DEC2020:00:00:00,testeos,Callao | USAM,M,30-39,36
10DEC2020:00:00:00,testeos,Callao | USAM,M,40-49,29
10DEC2020:00:00:00,testeos,Callao | USAM,M,50-59,14
10DEC2020:00:00:00,testeos,Callao | USAM,M,60-69,10
10DEC2020:00:00:00,testeos,Callao | USAM,M,70-79,3
10DEC2020:00:00:00,testeos,CEC,F,0-19,35
10DEC2020:00:00:00,testeos,CEC,F,20-29,87
10DEC2020:00:00:00,testeos,CEC,F,30-39,109
10DEC2020:00:00:00,testeos,CEC,F,40-49,101
10DEC2020:00:00:00,testeos,CEC,F,50-59,74
