,FECHA_MUESTRA,TIPO,DISPOSITIVO,GENERO,GRUPO_ETARIO,N
0,13DEC2020:00:00:00,testeos,Club San Lorenzo,M,0-19,5
2,13DEC2020:00:00:00,testeos,Club San Lorenzo,M,20-29,14
3,13DEC2020:00:00:00,testeos,Club San Lorenzo,M,30-39,17
4,13DEC2020:00:00:00,testeos,Club San Lorenzo,M,40-49,25
5,13DEC2020:00:00:00,testeos,Club San Lorenzo,M,50-59,25
6,13DEC2020:00:00:00,testeos,Club San Lorenzo,M,60-69,22
7,13DEC2020:00:00:00,testeos,Club San Lorenzo,M,70-79,9
8,13DEC2020:00:00:00,testeos,Club San Lorenzo,M,80 y más,1
9,13DEC2020:00:00:00,testeos,Edificio Munich,F,0-19,46
10,13DEC2020:00:00:00,testeos,Edificio Munich,F,20-29,67
11,13DEC2020:00:00:00,testeos,Edificio Munich,F,30-39,88
12,13DEC2020:00:00:00,testeos,Edificio Munich,F,40-49,86
13,13DEC2020:00:00:00,testeos,Edificio Munich,F,50-59,65
14,13DEC2020:00:00:00,testeos,Edificio Munich,F,60-69,40
15,13DEC2020:00:00:00,testeos,Edificio Munich,F,70-79,16
16,13DEC2020:00:00:00,testeos,Edificio Munich,F,80 y más,3
17,13DEC2020:00:00:00,testeos,Edificio Munich,M,0-19,20
18,13DEC2020:00:00:00,testeos,Edificio Munich,M,20-29,57
19,13DEC2020:00:00:00,testeos,Edificio Munich,M,30-39,100
20,13DEC2020:00:00:00,testeos,Edificio Munich,M,40-49,67
21,13DEC2020:00:00:00,testeos,Edificio Munich,M,50-59,57
22,13DEC2020:00:00:00,testeos,Edificio Munich,M,60-69,49
23,13DEC2020:00:00:00,testeos,Edificio Munich,M,70-79,17
24,13DEC2020:00:00:00,testeos,Edificio Munich,M,80 y más,4
25,13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,11
26,13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,57
27,13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,34
28,13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,34
29,13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,41
30,13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,23
31,13DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,15
