,Edad, Altura, Peso, Promedio, Sexo, LU, Observación 
0,25,1.80,83.0,7.79,h,125/89,ninguna
1,21,1.89m,86.0,9.7,h,35/88,ninguna
2,39,1.54,50.0,7.1,m,142/80,hipertension
3,49,1.66,70.0,6.54,m,553/83,ninguna
4,31,1.70,81.0,7.21,h,495/83,hipertension
5,33,1.74,93.0,7.1,h,25/78,hipertension
6,29,1.81,82.5,6.9,h,445//81,ninguna
7,19,1.82,86.3,8.43,h,5/84,ninguna
8,20,1.76,75.0,10.0,m,1/81,ninguna
10,32,1.64,60.0,9.1,m,400/80,ninguna
11,59,1.70,67.0,8.99,nb,100/89,ninguna
12,34,1.81,97.0,7.46,h,1/89,ninguna
13,49,1.78,432.0,7.41,h,500\86,dolor de cabeza
14,51,1.77,75.0,9.1,h,25/85,ninguna
17,41,1.80,8.0,9.2,h,099/89,ninguna
19,28,1.68,68.0,7.54,m,145/81,ninguna
