,Producto,Precio Final,Descuento,URL
0,Tablet  Samsung Galaxy Tab A7 Sm-t500 10.4  64gb Dark Gray Con 3gb De Memoria Ram ,$ 33.999,10% OFF,https://articulo.mercadolibre.com.ar/MLA-900351814-tablet-samsung-galaxy-tab-a7-sm-t500-104-64gb-dark-gray-con-3gb-de-memoria-ram-_JM?hide_psmb=true#reco_item_pos=0&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
1,Soldadora Inverter 120 Amp Envio Gratis Oferta Pampa,$ 7.124,35% OFF,https://articulo.mercadolibre.com.ar/MLA-1101300957-soldadora-inverter-120-amp-envio-gratis-oferta-pampa-_JM?variation=173580051600&hide_psmb=true#reco_item_pos=1&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
2,Tablet  Samsung Galaxy Tab A7 Lite Sm-t220 8.7  32gb Gris Con 3gb De Memoria Ram ,$ 19.999,20% OFF,https://articulo.mercadolibre.com.ar/MLA-935631979-tablet-samsung-galaxy-tab-a7-lite-sm-t220-87-32gb-gris-con-3gb-de-memoria-ram-_JM?hide_psmb=true#reco_item_pos=2&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
3,Smart Tv Philips 6800 Series 32phd6825/77 Led Hd 32  110v/240v,$ 29.266,17% OFF,https://articulo.mercadolibre.com.ar/MLA-1100263322-smart-tv-philips-6800-series-32phd682577-led-hd-32-110v240v-_JM?hide_psmb=true#reco_item_pos=3&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
4,Notebook Intel Cloudbook 4gb 64gb Enova Windows,$ 36.099,5% OFF,https://articulo.mercadolibre.com.ar/MLA-901956284-notebook-intel-cloudbook-4gb-64gb-enova-windows-_JM?variation=71205907281&hide_psmb=true#reco_item_pos=4&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
5, Moto G20 64 Gb Rosa Flamingo 4 Gb Ram,$ 28.999,5% OFF,https://articulo.mercadolibre.com.ar/MLA-1104346253-moto-g20-64-gb-rosa-flamingo-4-gb-ram-_JM?hide_psmb=true#reco_item_pos=5&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
6,Zapatilla Topper Ultralight Ii 52510 - Nuevo!!!,$ 3.909,21% OFF,https://articulo.mercadolibre.com.ar/MLA-907854998-zapatilla-topper-ultralight-ii-52510-nuevo-_JM?hide_psmb=true#reco_item_pos=6&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
7,"Tira Luces Led 5050 Rgb, Kit Completo,control Y Fuente",$ 1.77911,11% OFF,https://articulo.mercadolibre.com.ar/MLA-912468361-tira-luces-led-5050-rgb-kit-completocontrol-y-fuente-_JM?variation=79129161806&hide_psmb=true#reco_item_pos=9&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=TODAY_PROMOTION
8,Hidrolavadora Cadena Zero Hi110 De 1450w Con 110bar De Presión Máxima 220v,$ 6.792,26% OFF,https://articulo.mercadolibre.com.ar/MLA-934832520-hidrolavadora-cadena-zero-hi110-de-1450w-con-110bar-de-presion-maxima-220v-_JM?hide_psmb=true#reco_item_pos=10&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
9,Notebook Asus I3 1005g1 4gb 128gb Ssd 14 Full Hd Windows 10,$ 58.499,6% OFF,https://articulo.mercadolibre.com.ar/MLA-925537311-notebook-asus-i3-1005g1-4gb-128gb-ssd-14-full-hd-windows-10-_JM?variation=87935102560&hide_psmb=true#reco_item_pos=12&reco_backend=promotions-sorted-by-score-mla-A&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=1b52662d-1cd3-40d6-9589-3c7d94edb60e&deal_print_id=9e8f37ff-c699-4a9c-8844-81e1aef2cb00&model_version=recommendations/prueba-promotions-MLA__3628__KAKUY&promotion_type=DEAL_OF_THE_DAY
