"Marca temporal","¿Pudo entregar todos los trabajos de la materia?","¿Cuánto te gusta Python como lenguaje de programación?","¿Consideras que tu rendimiento por la mañana es peor que por la tarde?","¿Considerás que analizar datos es aburrido?","¿Tu cumplimiento con las entregas tiene que ver con que estás en el último año y querés terminar?","¿Se te dificultó la búsqueda de datasets? ","¿Te resultó GitHub una herramienta útil para ver los enunciados de la materia? ","¿Crees que el cambio de modalidad (Virtual y presencial) dificultó tu rendimiento?","¿Qué modalidad preferís?","¿Hasta qué mes entregaste trabajos?"
"2021/11/11 8:06:18 a. m. GMT-3","No","Normal","Sí","No","No","No","Sí","Sí","Presencial","Agosto"
"2021/11/11 8:06:21 a. m. GMT-3","Sí","Bastante","No","No","No","Sí","Sí","Tal vez","Presencial","Noviembre"
"2021/11/11 8:06:22 a. m. GMT-3","No","Bastante","No","Sí","Sí","Sí","No","Tal vez","Virtual","Mayo"
"2021/11/11 8:06:27 a. m. GMT-3","Sí","Normal","No","No","No","Sí","Sí","No","Presencial","Noviembre"
"2021/11/11 8:06:34 a. m. GMT-3","Sí","Normal","No","No","No","Sí","Sí","No","Presencial","Noviembre"
"2021/11/11 8:06:35 a. m. GMT-3","Sí","Normal","No","No","Sí","Sí","Sí","No","Presencial","Noviembre"
"2021/11/11 8:06:36 a. m. GMT-3","Sí","Normal","Sí","No","Sí","Sí","Sí","No","Presencial","Agosto"
"2021/11/11 8:06:38 a. m. GMT-3","Sí","Bastante","No","No","No","No","Sí","Tal vez","Virtual","Noviembre"
"2021/11/11 8:07:18 a. m. GMT-3","No","Normal","Sí","Sí","Sí","Sí","No","Sí","Presencial","Marzo"
"2021/11/11 8:07:20 a. m. GMT-3","No","Un poco","Sí","Sí","Sí","Sí","Sí","Sí","Virtual","Septiembre"
"2021/11/11 8:07:32 a. m. GMT-3","No","Bastante","No","No","No","No","Sí","Sí","Presencial","Noviembre"
"2021/11/11 8:07:40 a. m. GMT-3","No","Normal","Sí","No","Sí","Sí","No","Sí","Presencial","Septiembre"
"2021/11/11 8:07:41 a. m. GMT-3","Sí","Bastante","Sí","Sí","Sí","No","Sí","No","Presencial","Noviembre"
"2021/11/11 8:07:48 a. m. GMT-3","Sí","Bastante","No","No","No","Sí","Sí","No","Virtual","Noviembre"
"2021/11/11 8:08:04 a. m. GMT-3","No","me fascina","Sí","Sí","Sí","Sí","No","Sí","Virtual","Agosto"
"2021/11/11 8:08:05 a. m. GMT-3","No","Normal","Sí","Sí","Sí","No","Sí","No","Presencial","Septiembre"
"2021/11/11 8:08:19 a. m. GMT-3","Sí","Normal","No","Sí","Sí","Sí","Sí","No","Virtual","Noviembre"
"2021/11/11 8:08:24 a. m. GMT-3","No","Nada","Sí","Sí","Sí","Sí","No","Tal vez","Presencial","Junio"
"2021/11/11 8:09:00 a. m. GMT-3","No","Normal","Sí","No","Sí","No","Sí","Sí","Presencial","Julio"
"2021/11/11 8:09:26 a. m. GMT-3","No","Me encanta","No","No","Sí","No","Sí","Sí","Virtual","Agosto"
"2021/11/11 8:10:39 a. m. GMT-3","No","Un poco","Sí","Sí","Sí","Sí","Sí","Tal vez","Presencial","Julio"
"2021/11/11 8:11:07 a. m. GMT-3","Sí","Un poco","Sí","No","Sí","No","Sí","Tal vez","Presencial","Noviembre"
"2021/11/11 8:11:20 a. m. GMT-3","No","Normal","Sí","No","Sí","No","Sí","Sí","Virtual","Octubre"
"2021/11/11 8:11:40 a. m. GMT-3","No","Un poco","No","Sí","No","No","Sí","Sí","Presencial","Noviembre"
"2021/11/11 8:11:55 a. m. GMT-3","No","Bastante","No","No","No","No","Sí","Tal vez","Virtual","Septiembre"
"2021/11/11 8:15:33 a. m. GMT-3","No","Bastante","Sí","No","Sí","Sí","Sí","No","Presencial","Agosto"
"2021/11/11 8:15:43 a. m. GMT-3","No","Un poco","No","No","Sí","No","Sí","Sí","Virtual","Marzo"
